id_village,village_name,id_post
uuid:131b1354-9c7f-44ed-8877-297efdecf41b,Mitchine,PA032101
uuid:1578cd6e-d4de-4fe9-aa44-2ead4574578c,Mutanapo,PA030801
uuid:1ef70a2d-0dca-4e1c-bedf-5d7c1db6afc4,Muhala,PA032103
uuid:24196795-b99a-4b3c-a509-e04bb50ae2ea,Cuirini,PA032103
uuid:28e6c2b5-4656-4764-acff-5b71865179a8,Lancheque,PA032101
uuid:31d8c3be-9953-44e1-a867-e6de3c4ce4e1,Napipine,PA030804
uuid:322e4a03-c011-428e-97dd-9b7c5de87d5f,Nanrele,PA030804
uuid:3ae3ca1c-a047-4dbe-8224-5ac40d0956f0,Namihasse,PA032103
uuid:40da1144-71b9-4775-8036-e556950b45b3,Mutepa,PA030804
uuid:470edeaa-89c9-49f6-ac53-ffd6335dd16f,Unidade Moçambique,PA030804
uuid:52e8814d-1b9a-42d9-a4c7-5b162c42ddf0,Naihava,PA032103
uuid:576fe463-72da-4df8-84c6-54637fb91180,Namalili,PA030804
uuid:57bf020e-99a2-443c-b955-b407eefb690a,Mesa,PA032101
uuid:61d77b5d-5f0b-4289-a2ff-906051981a93,25 de junho,PA032103
uuid:6f603c52-d7bc-409d-84fc-8753a1109804,Namicopo,PA032103
uuid:796df55f-f954-41e0-93a9-45337b4edf50,Namacula,PA030804
uuid:7ff9ae11-6609-4143-89d3-3ac8ee5b7eb0,Namacucu1. Lancheque,PA032301
uuid:968dca35-75f8-4a2f-89cf-f28dbf745eca,Pajara,PA030804
uuid:975377b6-90be-40dd-826a-3afb0dd351f6,Marrocane,PA030804
uuid:9e55aa3d-d8a4-495b-8610-3c5741c9ee0d,Meparara,PA032101
uuid:ae79c4a8-e06a-43d9-ab11-54f4e001d4c0,Namuali,PA032103
uuid:c3f51ff6-a00c-4f82-aff2-f3e9349312a4,Napai 2,PA030801
uuid:d651fd3f-061d-478a-8218-082dba8c55df,Naculue,PA030804
uuid:ee189b38-130e-457e-8a8d-e3668967b7b3,Intatapila Sede,PA030801
uuid:f6ba3a15-2db7-49ca-ab32-94b5de3c1563,Carrupeia,PA030804
uuid:f7cffe47-59c1-41e9-a142-d8344cd18cdf,Muthekereque,PA032103
uuid:f8fed735-c890-4c0a-b1c2-2ab02f1728c5,Malapa,PA032103
uuid:f9c8fe42-366e-4d57-8ee2-5b93e6b4f32a,Pacuneta,PA030804
uuid:fb176801-ffe8-45b3-a85a-40d5237dd940,Poiane,PA032103
uuid:00e421cc-5dd9-4167-871c-9a625cf674b5,Mandiuassa,PA011401
uuid:015e4da5-b901-43b5-ab1d-446180f8c619,Massangano,PA011402
uuid:0e65c077-de8e-4a7f-89b2-d54b0bf3ddf3,Mitua,PA011401
uuid:0f799204-6f39-4969-b260-1f10523ac271,Bulasse,PA010601
uuid:18103504-ae82-45f3-b69c-733d2520da4a,Lumbiza,PA011401
uuid:21d83261-482b-4b75-8272-79904e8e6480,Lupalane,PA011402
uuid:240bc684-8e53-4e38-849b-cb819d20b33b,Ussumane,PA010601
uuid:24f6477e-ea8b-4e40-ae16-c2173da00203,Massangulo sede,PA011401
uuid:2a013c92-25ff-400c-9256-c520df92761e,Matanga,PA011402
uuid:2b945e2f-8498-4fa8-aa0a-d569d3b641d9,Luagala,PA011401
uuid:2c26f765-d3f9-4316-aeac-240bb863825e,Mbela,PA011402
uuid:2d4b6f9f-a7c4-4bb1-a003-5d1f67779fed,Capolo,PA010601
uuid:32bf4acd-10d3-46e4-ac11-dfeaa71fea5e,7 de Abril,PA011402
uuid:334bfa20-d233-4b98-ac27-8e755368cc55,Matola,PA011402
uuid:33ce8c29-3653-4c0c-af98-ffc94e9e0239,Milepa,PA011401
uuid:35217234-c200-4db0-a243-04f6404cc606,Nhato,PA011401
uuid:37b691d1-0a1b-428c-85c8-ce3ca58dec21,Malenga,PA010401
uuid:44d88d6d-c8d5-4efd-90d2-b9a9d8be9149,Ámido,PA010601
uuid:4524dc71-6a9f-4336-b2fb-d9bf50e37b15,Chiulugo,PA011401
uuid:4a36175b-fc12-41c1-b0eb-f0024d7e16e5,Ncuaiaia,PA010601
uuid:4d345dcd-95ff-4ad9-802c-095418914e2a,Chinenge,PA010402
uuid:4e799c3d-df77-473f-b582-145bcb86810a,Djimo,PA010601
uuid:54b3cf2d-9423-4dae-85cd-2bc96b6ff72d,Maoga,PA011603
uuid:54bb9b4c-1546-4766-8440-a98aecf8eee0,Mbanda,PA011401
uuid:55da7601-4c9a-4105-b664-30d7993407a3,Lidjego,PA011602
uuid:5b151c1f-aee6-4816-a86b-4984d8a2898f,Miala,PA011601
uuid:5bba215f-9c5e-4a73-b155-7fe61e58fa58,Massangano,PA010401
uuid:5e30b9b1-b226-45e9-ac1e-c0840f66b772,Mpelula,PA010402
uuid:5fa96455-882c-4eb2-b506-170ae96f4b8b,Machita,PA011401
uuid:6165c1f5-24f6-4da5-99d3-b0585474b2f4,Cazize,PA011601
uuid:61839eef-e1d7-4cd2-ba6d-c328e22c6dc8,Matukuta,PA010401
uuid:6330cbdb-db32-4de4-b7c4-7194efa4b66b,Ntendje,PA011401
uuid:640b3804-6410-498a-98da-8f06b664028c,Mapudje,PA011601
uuid:65c7c042-4cbb-46e5-afc2-310d920aa9c1,Chiwango,PA010401
uuid:66b3867e-7233-4da1-8284-2d7cb617bdc6,Nduica,PA011602
uuid:6949d97d-d140-4e7d-8110-00b3b451f123,Lucucho,PA011402
uuid:6cb95e27-c355-4d36-9143-b320aa23b1f9,Cazembe,PA011401
uuid:6d2bf62a-788f-46aa-8cb0-58e23178e38e,Luambala,PA010401
uuid:6e810c50-24c4-4c70-aaa6-0c328fe475a8,Macunganha II,PA010601
uuid:7049331d-a69d-44aa-b5ee-2e64332be17e,Macunganha,PA011401
uuid:70ed6858-78f7-4e50-8227-1a4f8a7a0605,Issa,PA010601
uuid:733df623-388a-411d-ad2b-a66561c4ff8a,Chissalanga,PA011601
uuid:73c498f5-64dd-4fb3-91c8-f2483035e3eb,Chamande,PA011401
uuid:73cce766-5695-4386-b49b-ee3a4990af99,Calambo,PA011402
uuid:7747e87a-ec4d-4673-a213-deba3bccca6f,Chinenge I,PA010402
uuid:78b3bb5f-71cb-4e74-88dc-ae90c79870cc,Macunganha,PA010601
uuid:812e512b-d7dd-4497-b7c1-310efa7b6065,Matepuenda,PA011401
uuid:82935838-26bb-4ce6-b875-435d4a2e644c,Machemba,PA011401
uuid:84d4abfe-0e57-4f0a-91c9-2c93eb200f34,Luelele,PA010601
uuid:85a2a99c-a665-4c63-b829-08fa7099b7af,Chitambi,PA010601
uuid:8eddc462-a47f-4f34-9373-89b815969537,Ngalindje,PA011402
uuid:8fbf31a8-be30-4142-beab-5d97ff56eccf,Lumbiza,PA011603
uuid:93250335-a508-4a0c-b375-b8f31ec4e910,Massengele,PA011401
uuid:9846ab5b-4c51-49c0-87c6-fdea4f1e8f83,Lucole,PA011401
uuid:9a9a9272-6615-4c15-a366-f5da76cc7951,Gimo,PA011402
uuid:9caab5ce-dce8-486b-8ead-60f7db79a264,Nhamuedje,PA011601
uuid:9d9de83f-583f-4b59-8a6e-1516b1fbb75c,Caunde,PA010601
uuid:a42c859c-6bdd-4064-a320-ee4b1519d80e,Chimbalambala,PA011601
uuid:aae805e1-c7d5-447a-836d-e8a30d5c40f6,Nlita,PA011402
uuid:ad12e2f5-c4eb-42cf-a892-d377e219dc37,Cumichongwe,PA010601
uuid:b0823ade-d1ef-4949-9b95-f5667b210d64,Nnungussie,PA011401
uuid:b6df51f2-4e29-4de6-8602-ad53517f36af,Chunga,PA011402
uuid:b95a3c22-cc32-4971-841e-1a1d54afd779,Chiguadja,PA011401
uuid:ba1cbcaf-5ac4-40af-be5a-4e977b9b424a,Ngasyamala,PA010601
uuid:be00df1e-6046-4b77-ad70-de2b75bcdbe7,Chekwanda,PA010401
uuid:c128c4d9-cb63-4251-b8dc-c061bb8a453d,Daima,PA011401
uuid:c3ca788f-2c64-4fcd-bc16-9e81a7f79246,Mbeba,PA011602
uuid:c467ee47-0ea9-4cb9-85a4-129a50c03af6,Cazembe,PA010601
uuid:c4ef8fcd-c961-4f01-bd2b-0e385390cba3,Antigos combatentes_Nsuahili,PA011601
uuid:c5d06db9-4453-4cda-98d0-a76bf342fd9e,Mpianda,PA010601
uuid:cb453645-df52-4f4a-8000-a04b26284d58,Maniamba,PA010401
uuid:cc5b351d-8bcf-4dde-bdff-3b5c319cbe61,Ntembo,PA010601
uuid:cfa6edc8-ee29-48cd-a976-1780166421a2,Lilonge,PA011601
uuid:d05ee545-ca8a-4550-b167-12bf1c85c9ff,Chimbasongo,PA011601
uuid:d2c9923e-52d2-4a8c-802a-7645eaccb429,Tambalica,PA010401
uuid:d42fcf83-5d7f-4d2f-a83a-1e8152c761fb,Nassenhedje,PA011602
uuid:daf0ece7-693a-42fc-97da-0766ce8f1a73,Itepela,PA011402
uuid:dbcee9b7-070b-4df9-b9e9-cc57cc78b3dc,Chekolesia,PA010401
uuid:dd20f3e7-5d55-4767-afb9-aa5fa2659182,Chesane,PA010401
uuid:dfd5150f-a6ba-42ad-b146-39dc98305691,Tombolombo,PA011602
uuid:e1bbafa4-4d53-4088-bb14-6fe074a37ccf,Ncuanda II,PA011402
uuid:e1d6d5a2-2e05-492d-bf1f-62ce94010565,Bagarila,PA011602
uuid:e32e4ca6-1c3d-4331-841f-94e066331205,Nselenge,PA011602
uuid:e997f974-2ca3-4edc-8204-afc54991d4ca,Matola,PA010601
uuid:e9fa1f95-073e-4b79-85c3-1a068ee55aab,Matola Caiaia,PA010601
uuid:edddd70d-d3c0-47de-878a-6d900922fa32,Malopa,PA010401
uuid:efe45775-7680-462f-b25e-cd839cf5eac2,Chitanda,PA011401
uuid:f1b53bef-905e-4775-9017-bddbe02865b2,Wasili,PA010601
uuid:f72e5d22-2e9d-411f-af06-cadd3c1ba054,Mitamba,PA011401
uuid:f7b3125e-4232-48d2-aaa5-af65f130ff0f,Ncaunge,PA011401
uuid:fb6030f4-4dc9-4fec-97e2-4bbd1e2ea7e4,Muli,PA010601
uuid:fc133abb-33ca-449c-a83b-fa3823675984,Ngogoti,PA011601
uuid:fda697e3-1a50-4ad1-accc-6ed244dff68c,Ngumbi,PA011401
uuid:01665568-a321-4f1a-8ba6-da78576f206b,Zona A.Pv Napalage,PA040201
uuid:0209f178-6a9d-47ad-8895-2342419fa059,Kuchivava,PA011402
uuid:0410643d-11af-4324-a6b8-781b290c1679,Helua,PA041102
uuid:04997f55-d3c8-4ce8-b302-c7e8e537634e,Capeia,PA011401
uuid:04be6016-379f-402b-885d-5a5c073493fb,Mucune,PA040201
uuid:04d19a05-2c82-43c0-9511-e077313b751e,Pv.Namitathar,PA040201
uuid:04ffb4b0-9054-4831-917f-d0a038e4e462,Muha,PA041102
uuid:05f7b13a-6d20-458e-ace0-a043349cbdb4,Zona D .Pv.Mucarua,PA040201
uuid:069bf71d-73ed-4ea0-a1bd-504c2b74436e,Machemba,PA011401
uuid:06b6c433-3a0d-4114-8a8b-b8c255782812,Pv. de Ikutxu,PA040201
uuid:07f8f94f-e54f-4b86-aaf9-568385c857f7,Mussa,PA010401
uuid:0841ee6c-60fd-444e-86d0-ded96d53c042,Murrovoro,PA040201
uuid:08f814e1-a7a9-48d8-ae7f-4f1e82a92910,Rauanheque,PA032101
uuid:0a75ae8a-e30f-4f8c-8c5e-fe63ae0360d0,Lussanga,PA011401
uuid:0ca6e193-dcc8-456e-b3d5-b5306e1d4620,Mbale,PA041102
uuid:0eb9bd73-0ee1-4aa3-9f66-3707c751a421,Namithe,PA040201
uuid:105f2b3c-efac-4439-82be-4721e71a56b8,Mpanga,PA041001
uuid:117077d2-110f-4387-8265-2c084b8b1396,Libanda,PA041001
